feature_set,model,mae,rmse,directional_accuracy
baseline,zero_return,0.013905624143100802,0.017955370161255365,0.4666666666666667
factor_only,random_forest,0.014337725723316383,0.018063855865306417,0.5833333333333334
factor_plus_timesfm,random_forest,0.014727600327850747,0.018567612523940593,0.45
factor_only,gradient_boosting,0.0150477666978987,0.018275939882511104,0.5833333333333334
factor_plus_timesfm,gradient_boosting,0.015351347760282302,0.018492607802281926,0.5666666666666667
timesfm_only,random_forest,0.01554664980668264,0.019613676721357637,0.4666666666666667
factor_only,linear_regression,0.01560366096830582,0.020112755030494187,0.5166666666666667
timesfm_only,linear_regression,0.015625718823657507,0.01983102191189412,0.5333333333333333
timesfm_only,gradient_boosting,0.015754072676373194,0.019610375732998543,0.36666666666666664
factor_plus_timesfm,linear_regression,0.01718727941542131,0.02146749122060595,0.45
